timestamp_ms,accelX_mps2,accelY_mps2,accelZ_mps2,gyroX_dps,gyroY_dps,gyroZ_dps,label
20213,0.462,15.080,15.080,21.568,221.565,221.565,1
20247,1.077,2.000,2.000,-149.025,-198.044,-198.044,1
20281,1.077,1.077,12.643,-3.281,11.703,-215.691,1
20315,3.693,-2.463,-2.463,241.173,-200.005,-200.005,1
20349,0.769,0.769,9.812,2.441,-56.633,-182.358,1
20383,-1.232,-16.466,-16.466,80.391,141.174,141.174,1
20417,2.154,2.154,9.023,-15.182,-5.920,3.922,1
20451,2.000,6.925,6.925,150.978,201.958,201.958,1
20485,3.847,3.539,3.539,-156.868,-66.673,-66.673,1
20519,3.847,-4.771,-4.771,-217.651,139.214,139.214,1
20553,2.616,2.616,8.751,-5.424,-7.835,50.980,1
20587,0.923,-17.543,-17.543,45.097,111.763,111.763,1
20621,2.154,2.154,10.438,-15.106,5.798,190.193,1
20655,1.693,16.157,16.157,60.783,149.017,149.017,1
20689,0.923,-5.386,-5.386,245.094,-119.614,-119.614,1
20723,2.770,2.770,7.381,-44.556,7.637,-54.909,1
20757,0.923,15.696,15.696,-1.968,162.743,162.743,1
20791,2.308,1.539,1.539,-231.377,5.882,5.882,1
20825,3.693,16.927,16.927,-233.337,-235.298,-235.298,1
20859,2.462,2.462,8.721,10.193,-11.681,-217.651,1
20893,1.385,-0.308,-0.308,172.546,-3.929,-3.929,1
20927,2.308,-13.696,-13.696,56.862,-11.772,-11.772,1
20961,1.847,1.847,8.436,0.420,-23.438,-98.045,1
20995,2.154,12.772,12.772,-3.929,-194.122,-194.122,1
21029,1.539,1.539,8.463,14.091,0.053,47.058,1
21063,0.923,16.465,16.465,-111.771,-41.183,-41.183,1
21097,1.385,1.385,8.511,-15.205,-19.592,-233.337,1
21131,0.000,-17.697,-17.697,-64.713,-90.202,-90.202,1
21165,-0.308,-0.308,7.942,-1.564,-25.398,233.330,1
21199,0.154,-17.543,-17.543,-164.711,90.195,90.195,1
21233,0.000,0.000,9.250,0.458,-19.531,150.978,1
21267,-0.616,-5.386,-5.386,147.057,-213.730,-213.730,1
21301,1.077,1.077,7.325,-75.813,-2.251,125.488,1
21335,3.693,-10.464,-10.464,50.980,209.801,209.801,1
21369,2.000,2.000,8.341,14.084,-1.900,127.449,1
21403,0.462,-7.695,-7.695,78.430,-160.789,-160.789,1
21437,0.462,0.462,8.706,6.287,11.742,-103.928,1
21471,-0.154,1.847,1.847,-54.909,5.882,5.882,1
21505,-3.386,5.232,5.232,-33.340,111.763,111.763,1
21539,-1.386,15.234,15.234,-29.419,217.644,217.644,1
21573,-0.770,-0.770,9.226,-26.886,-19.638,-188.240,1
21607,-1.539,-2.001,-2.001,149.017,186.272,186.272,1
21641,-1.847,-1.847,7.299,-40.657,27.184,196.075,1
21675,1.539,12.310,12.310,-170.593,-3.929,-3.929,1
21709,1.385,18.312,18.312,23.529,-107.849,-107.849,1
21743,2.770,2.770,8.425,-48.416,64.262,166.664,1
21777,8.310,-8.772,-8.772,211.761,229.408,229.408,1
21811,6.155,-0.924,-0.924,96.077,50.980,50.980,1
21845,9.848,-5.694,-5.694,-45.105,-107.849,-107.849,1
21879,0.308,0.308,8.284,55.099,25.604,-198.044,1
21913,2.616,5.694,5.694,72.548,72.548,58.876,1
21947,4.616,4.616,4.616,58.823,58.823,58.823,1
21981,-16.312,-16.312,-11.849,-150.986,-150.986,7.217,1
22015,0.462,0.462,0.462,-201.965,-201.965,47.058,1
