timestamp_ms,accelX_mps2,accelY_mps2,accelZ_mps2,gyroX_dps,gyroY_dps,gyroZ_dps,label
70459,6.905,-5.338,4.118,4.105,3.922,3.922,0
70493,4.142,-4.736,2.434,-1.839,-0.008,-0.008,0
70527,4.297,-4.428,1.362,-9.705,-7.851,-7.851,0
70561,7.973,-5.947,0.743,7.843,7.843,7.843,0
70595,3.988,-5.962,-0.790,21.439,19.608,19.608,0
70629,2.919,-6.120,-1.250,27.275,25.490,25.490,0
70663,6.902,-7.024,-0.334,44.899,43.137,43.137,0
70697,5.667,-7.796,-2.176,25.276,23.529,23.529,0
70731,4.294,-7.341,-1.715,-7.904,-7.851,-7.851,0
70765,3.220,-6.885,-0.793,-17.624,-17.654,-17.654,0
70799,6.896,-6.411,1.968,-62.408,-60.791,-60.791,0
70833,4.888,-5.806,3.809,-79.895,-78.438,-78.438,0
70867,4.289,-5.502,5.037,-56.396,-54.909,-54.909,0
70901,9.200,-4.716,6.879,-60.211,-58.830,-58.830,0
70935,7.513,-4.569,5.960,-73.929,-72.556,-72.556,0
70969,4.754,-5.193,6.724,-17.250,-15.694,-15.694,0
71003,7.206,-5.183,9.330,0.458,0.000,0.000,0
71037,5.980,-5.035,9.944,10.254,9.804,9.804,0
71071,4.441,-4.582,9.639,31.723,31.372,31.372,0
71105,7.204,-5.030,8.411,37.521,37.254,37.254,0
71139,7.666,-5.795,7.641,23.811,23.529,23.529,0
71173,6.132,-6.107,7.793,6.241,5.882,5.882,0
71207,5.825,-5.189,8.104,2.350,1.961,1.961,0
71241,7.204,-3.651,8.569,0.420,0.000,0.000,0
71275,5.213,-4.425,7.647,12.093,11.765,11.765,0
71309,6.598,-4.726,8.718,10.193,9.804,9.804,0
71343,6.286,-4.421,9.180,18.028,17.647,17.647,0
71377,6.443,-4.420,6.880,25.726,25.490,25.490,0
71411,8.901,-5.790,5.036,19.775,19.608,19.608,0
71445,6.596,-4.726,3.507,15.793,15.686,15.686,0
71479,6.138,-4.421,3.661,0.175,0.000,0.000,0
71513,7.362,-5.030,4.732,0.229,0.000,0.000,0
71547,5.520,-5.650,1.971,11.810,11.765,11.765,0
71581,5.676,-5.649,0.284,9.773,9.804,9.804,0
71615,2.762,-5.201,-0.327,15.602,13.725,13.725,0
71649,6.447,-6.719,1.047,33.249,33.333,33.333,0
71683,4.749,-7.186,0.892,39.101,39.215,39.215,0
71717,5.822,-7.795,1.962,23.529,23.529,23.529,0
71751,5.365,-7.183,2.731,23.567,23.529,23.529,0
71785,5.217,-7.490,1.657,27.420,27.451,27.451,0
71819,5.058,-7.185,1.045,15.671,15.686,15.686,0
